,_id,name,category,description,latitude,longitude,founded_year,total_money_raised,raised_amount,currency,address,zip_code,city
2,52cdef7c4bab8bd675297d8d,Digg,news,user driven social content website,37.764726,-122.394523,2004.0,$45M,45000000.0,USD,135 Mississippi St,94107,San Francisco
3,52cdef7c4bab8bd675297d91,Geni,web,Geneology social network site,34.090368,-118.393064,2006.0,$16.5M,16500000.0,USD,9229 W. Sunset Blvd.,90069,West Hollywood
4,52cdef7c4bab8bd675297d95,StumbleUpon,web,Content discovery service,37.775196,-122.419204,2002.0,$18.5M,18500000.0,USD,,,San Francisco
5,52cdef7c4bab8bd675297d95,StumbleUpon,web,Content discovery service,,,2002.0,$18.5M,18500000.0,USD,,,New York City
7,52cdef7c4bab8bd675297d96,Gizmoz,web,Photo animation,37.48413,-122.169472,2003.0,$18.1M,18100000.0,USD,,,Menlo Park
8,52cdef7c4bab8bd675297d98,Slacker,music,Music Personalization Suite,33.022176,-117.081406,2006.0,$73.1M,73100000.0,USD,16935 W. Bernardo Dr. Suite 101,92127,San Diego
9,52cdef7c4bab8bd675297d99,Lala,games_video,hub for online music discovery,37.451151,-122.154369,,$44.2M,44150000.0,USD,209 Hamilton Ave,94301,Palo Alto
10,52cdef7c4bab8bd675297d97,Scribd,news,Read Unlimited Books,37.789634,-122.404052,2007.0,$25.8M,25762000.0,USD,539 Bryant Street,94107,San Francisco
12,52cdef7c4bab8bd675297d9c,MeetMoi,social,Mobile Dating,40.757929,-73.985506,2007.0,$5.58M,5575000.0,USD,,,New York City
13,52cdef7c4bab8bd675297d94,Twitter,social,Real time communication platform,37.7768052,-122.4169244,2006.0,$1.16B,1160166511.0,USD,1355 Market St.,94103,San Francisco
15,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,37.41605,-122.151801,2004.0,$2.43B,2425700000.0,USD,1601 Willow Road,94025,Menlo Park
16,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,53.344104,-6.267494,2004.0,$2.43B,2425700000.0,USD,,,Dublin
17,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,40.7557162,-73.9792469,2004.0,$2.43B,2425700000.0,USD,340 Madison Ave,10017,New York
18,52cdef7c4bab8bd675297d9d,Joost,games_video,,40.7464969,-74.0094471,2006.0,$45M,45000000.0,USD,100 5th Ave Fl 6,10011-6903,New York
20,52cdef7c4bab8bd675297da1,Plaxo,web,Contact Management,37.387845,-122.055197,2002.0,$28.3M,28300000.0,USD,"1050 Enterprise Way, 5th floor",94089,Sunnyvale
21,52cdef7c4bab8bd675297da4,Powerset,search,,37.778613,-122.395289,2006.0,$22.5M,22500000.0,USD,475 Brannan St,94107,San Francisco
22,52cdef7c4bab8bd675297da5,Technorati,advertising,Advertising platform/Publisher network,37.779558,-122.393041,2002.0,$32.1M,32100000.0,USD,360 Post St. Ste. 1100,94108,San Francisco
